"ADDRESSFACTORY DIRECT is a service of Deutsche Post Direkt for validating address data.","ADDRESSFACTORY DIRECT ist ein Service von Deutsche Post Direkt zur Validierung von Adressdaten."
"Address Information",Adress-Informationen
"Address corrected","Adresse korrigiert"
"Address not correctable","Addresse nicht korrigierbar"
"Addressfactory Direct Deliverability Status","Addressfactory Direct Zustellbarkeits-Status"
"Addressfactory Direct Settings","Addressfactory Direct Einstellungen"
"Address validation can be performed either manually or automatically after the order was placed.","Nachdem Ihre Kunden eine Bestellung aufgegeben haben, können Sie die Versandadresse manuell oder automatisch prüfen."
"Analysis failed","Analyse fehlgeschlagen"
"Analysis on Order placement","Analyse bei Bestellungsabschluß"
"Analysis result with order address id %1 does not exist.","Analyse für Bestelladresse mit id %1 existiert nicht"
"Analysis status with order id %1 does not exist.","Analyse-Status für die Bestellung mit id %1 existiert nicht."
"Analysis via Cron","Analyse via Cron"
"Are you sure you want to cancel this order?","Möchten Sie die Bestellung wirklich stornieren?"
"Authentication error.",Authentifizierungsfehler.
"Auto-Correct Address","Automatisch korrigieren"
"Automatic Address Analysis","Automatische Adress-Analyse"
"Automatically Cancel","Automatisch stornieren"
"Automatically Put on Hold","Automatisch zurückstellen"
"Automatically Update Shipping Address","Lieferaddresse automatisch aktualisieren"
"Basis for this check is the postal reference file from Deutsche Post Direkt.","Grundlage dieser Prüfung ist die postalische Referenzdatei von Deutsche Post Direkt."
Building,Gebäude
"Bulk receiver name",Großempfängername
"Bulk recipient address",Großempfänder-Adresse
"Cancel Order","Bestellung stornieren"
"Check Deliverability","Zustellbarkeit überprüfen"
"Check and Improve Deliverability","Zustellbarkeit überprüfen und verbessern"
City,Ort
"City addition",Ortszusatz
"Configuration Name",Konfigurationsname
"Correction Recommended","Korrektur empfohlen"
"Correction recommended","Korrektur empfohlen"
"Could not perform ADDRESSFACTORY DIRECT analysis for Order","ADDRESSFACTORY DIREKT-Analyse konnte nicht durchgeführt werden"
"Could not save analysis result.","Analyse-Ergebnis konnte nicht gespeichert werden."
"Could not update Order address with ADDRESSFACTORY DIRECT suggestion","Bestelladresse konnte nicht mit ADDRESSFACTORY DIRECT-Vorschlag aktualisiert werden"
Country,Land
"Deliverability Analysis",Zustellbarkeits-Analyse
"Deliverability Status",Zustellbarkeits-Status
Deliverable,Zustellbar
Enabled,Aktiviert
Errors,Fehler
Everything,Alles
"House address",Hausanschrift
Household,Haushalt
